/usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]Loading weights: 100%|██████████| 290/290 [00:00<00:00, 9612.29it/s]
Loading weights:   0%|          | 0/579 [00:00<?, ?it/s]Loading weights: 100%|██████████| 579/579 [00:00<00:00, 9940.09it/s]
keep_mask: 26 / 48
corrected latencies(ms): t_p1=0.34 t_qp=3.88 t_q=14.69 t_q1=10.23
Using the latest cached version of the dataset since openai/gsm8k couldn't be found on the Hugging Face Hub (offline mode is enabled).
Found the latest cached dataset configuration 'main' at /home/ubuntu/.cache/huggingface/datasets/openai___gsm8k/main/0.0.0/740312add88f781978c0658806c59bc2815b9866 (last modified on Sat Jun 20 16:57:25 2026).
iter 38/120: tok_reward=0.851 match=0.933 correct=0.833 cost/tok=0.298 rej=0.069 ent=0.184 gn=0.26 ntok=1028 30.9s
iter 39/120: tok_reward=0.808 match=0.923 correct=0.667 cost/tok=0.355 rej=0.088 ent=0.230 gn=0.35 ntok=1298 43.4s
iter 40/120: tok_reward=0.853 match=0.932 correct=0.833 cost/tok=0.254 rej=0.055 ent=0.173 gn=0.55 ntok=685 20.5s
  [ckpt @ 40]
iter 41/120: tok_reward=0.848 match=0.924 correct=0.833 cost/tok=0.268 rej=0.049 ent=0.174 gn=0.26 ntok=857 25.0s
iter 42/120: tok_reward=0.876 match=0.929 correct=0.833 cost/tok=0.248 rej=0.041 ent=0.141 gn=0.25 ntok=743 20.8s
iter 43/120: tok_reward=0.882 match=0.942 correct=0.833 cost/tok=0.237 rej=0.052 ent=0.143 gn=0.41 ntok=941 27.3s
iter 44/120: tok_reward=0.842 match=0.910 correct=0.833 cost/tok=0.266 rej=0.064 ent=0.174 gn=0.22 ntok=913 27.1s
iter 45/120: tok_reward=0.838 match=0.918 correct=0.667 cost/tok=0.299 rej=0.058 ent=0.187 gn=0.31 ntok=1299 38.5s
iter 46/120: tok_reward=0.861 match=0.916 correct=0.833 cost/tok=0.253 rej=0.051 ent=0.151 gn=0.28 ntok=750 22.2s
iter 47/120: tok_reward=0.842 match=0.904 correct=0.833 cost/tok=0.286 rej=0.070 ent=0.173 gn=0.22 ntok=950 29.3s
iter 48/120: tok_reward=0.832 match=0.907 correct=0.833 cost/tok=0.300 rej=0.070 ent=0.193 gn=0.26 ntok=787 24.2s
iter 49/120: tok_reward=0.819 match=0.914 correct=0.833 cost/tok=0.315 rej=0.070 ent=0.217 gn=0.30 ntok=867 26.9s
iter 50/120: tok_reward=0.836 match=0.911 correct=0.500 cost/tok=0.268 rej=0.055 ent=0.163 gn=0.26 ntok=1299 38.9s
  [ckpt @ 50]
iter 51/120: tok_reward=0.857 match=0.937 correct=1.000 cost/tok=0.259 rej=0.051 ent=0.180 gn=0.25 ntok=636 18.1s
iter 52/120: tok_reward=0.803 match=0.905 correct=0.500 cost/tok=0.298 rej=0.072 ent=0.201 gn=0.26 ntok=1297 40.8s
iter 53/120: tok_reward=0.798 match=0.908 correct=0.667 cost/tok=0.296 rej=0.071 ent=0.214 gn=0.23 ntok=1127 35.2s
